,quyu,home_num,size,chaoxiang,jianzao,tags,city
600,0,5,194.2,0,2005.0,1,0
601,2,3,86.8,0,2000.0,0,0
602,0,5,140.4,0,2003.0,1,0
603,2,1,66.9,1,2011.0,0,0
604,6,3,86.0,0,2016.0,0,0
605,5,4,90.3,0,2014.0,0,0
606,3,3,80.3,0,2019.0,0,0
607,6,3,90.0,0,2015.0,0,0
608,2,2,87.8,1,2009.0,0,0
609,6,2,92.0,0,2011.0,0,0
610,2,2,61.9,0,2012.0,0,0
611,4,2,75.3,0,2015.0,1,0
612,6,3,96.2,0,2010.0,0,0
613,6,3,88.6,0,2012.0,0,0
614,5,4,134.2,1,2015.0,0,0
615,5,2,93.5,0,2014.0,0,0
616,0,1,35.9,1,2006.0,1,0
617,1,4,170.9,0,2008.0,1,0
618,2,2,85.0,1,2015.0,0,0
619,2,4,124.8,2,2020.0,0,0
620,6,3,84.0,0,2015.0,0,0
621,1,4,354.7,2,2015.0,1,0
622,2,3,116.5,0,2018.0,0,0
623,4,2,89.0,0,2000.0,1,0
624,2,2,93.0,0,2017.0,0,0
625,6,2,86.9,0,2015.0,0,0
626,5,2,72.0,1,2000.0,0,0
627,2,4,166.2,0,2005.0,1,0
628,3,3,73.9,0,2016.0,0,0
629,1,4,163.2,0,2000.0,1,0
630,6,2,78.0,0,2012.0,0,0
631,2,3,89.7,5,2015.0,0,0
632,6,3,89.0,0,2016.0,0,0
633,4,3,89.5,1,2000.0,1,0
634,6,3,85.0,1,2016.0,0,0
635,2,2,71.1,0,2015.0,1,0
636,3,3,88.7,1,2013.0,0,0
637,6,3,106.0,0,2000.0,0,0
638,4,2,85.7,0,2016.0,0,0
639,2,2,75.5,0,2014.0,0,0
640,2,2,93.4,0,2015.0,0,0
641,2,2,91.3,0,2012.0,0,0
642,3,2,85.2,0,2012.0,0,0
643,6,2,67.1,0,2008.0,0,0
644,2,4,156.9,1,2017.0,0,0
645,2,3,86.7,0,2014.0,0,0
646,2,2,91.9,1,2014.0,0,0
647,2,2,55.4,1,2008.0,0,0
648,0,1,22.6,1,2005.0,1,0
649,5,2,82.2,3,2013.0,0,0
650,2,4,131.7,0,2016.0,0,0
651,6,3,71.0,8,2004.0,0,0
652,1,5,156.9,1,2001.0,1,0
653,0,1,23.1,7,2004.0,1,0
654,4,4,243.0,0,2016.0,1,0
655,6,3,109.2,0,2015.0,0,0
656,6,2,78.0,1,2009.0,0,0
657,4,2,86.5,0,2015.0,0,0
658,6,3,131.4,1,2016.0,0,0
659,6,2,92.5,0,2008.0,0,0
660,5,4,139.4,3,2017.0,0,0
661,5,4,88.6,0,2018.0,0,0
662,2,3,106.3,1,2008.0,0,0
663,6,3,134.5,3,2015.0,0,0
664,1,8,373.0,0,2000.0,1,0
665,4,4,156.1,0,2016.0,1,0
666,2,3,81.6,0,2002.0,0,0
667,2,4,115.6,0,2014.0,0,0
668,6,2,49.2,0,2010.0,0,0
669,2,4,144.0,0,2015.0,1,0
670,4,2,50.5,0,1996.0,1,0
671,6,3,88.8,1,2007.0,0,0
672,2,4,80.7,0,1995.0,0,0
673,5,3,81.4,2,2017.0,0,0
674,6,4,91.0,1,2016.0,0,0
675,6,3,117.0,0,2000.0,0,0
676,1,2,48.0,0,2007.0,1,0
677,2,2,90.9,1,2014.0,0,0
678,2,3,108.8,1,2015.0,0,0
679,5,4,89.4,0,2013.0,0,0
680,6,3,125.0,0,2000.0,0,0
681,1,4,119.4,0,2000.0,1,0
682,6,4,83.0,0,2012.0,0,0
683,6,4,95.0,0,2014.0,0,0
