标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
满五 南北通透 3室2厅,175.0,19921,乐活小镇,集美,3,87.9,南北,2009,"['南北', '满五年', '多人关注']"
南北正规两房 中间楼层 1号仙地铁附近 交通方便,405.0,54429,仙阁里花园,思明,2,74.4,南,1996,"['南', '近地铁']"
宁安里90平精装修三房，业主诚意出售230万,230.0,25525,宁安里,集美,3,90.1,南北,1999,"['南北', '满五年', '近地铁']"
福达里 3室2厅南北,783.0,64829,福达里,思明,3,120.8,南北,2011,"['南北', '满二年', '近地铁']"
满五 ！新出大两房！业主自住！地铁口橡树湾 随时看！,260.0,29035,橡树湾(一二期),集美,2,89.6,南北,2015,"['南北', '满五年', '近地铁']"
满五 宁宝小区燃气入户 3室2厅 精装修 房东急置换,180.0,23585,东华苑,集美,3,76.3,南北,1988,"['南北', '满五年', '配套成熟']"
低于行情五 起性价比高，大平层水晶公寓南北通透三阳台,2080.0,77238,海峡国际社区(一期),思明,5,269.3,东南,2008,"['东南', '有电梯', '近地铁', '绿化率高']"
地铁口，永升新城，113平电梯高层三房，视野采光好，看房方便,498.0,44126,永升新城,湖里,3,112.9,南北,2002,"['南北', '满五年', '近地铁']"
台湾街框架大2房2厅南北通透,237.0,35910,民兴商城,湖里,2,66,南,1999,"['南', '热门小区', '近地铁', '南北通透']"
莲花流芳里3房一厅中装房源采光好，南北通透，业主诚意出,515.0,52552,流芳里1-65号小区,思明,3,98,南,1992,"['南', '满五年', '近地铁']"
万象城地铁口 闹中取静 小区电梯南北双阳台 阳光好 一套,650.0,57451,银龙广场,思明,3,113.1,南北,2003,"['南北', '满五年', '近地铁']"
带南面独立使用露台40平种花养鱼随心所欲 南北通透看房有钥匙,279.0,24431,兴海苑,海沧,3,114.2,东南,2000,"['东南', '满五年', '近地铁', '车位充足']"
南北通透 4室2厅 精装修,998.0,74645,演武花园(三期),思明,4,133.7,南北,2000,"['南北', '满五年', '近地铁', '车位充足']"
将军祠，文灶地铁口，次新社区，一中旁，电梯高层,780.0,84709,阳鸿新城,思明,2,92.1,西南,2003,"['西南', '满二年', '近地铁']"
急降价急降价海峡国际社区一期 精装修 高端小区现房 现房,1170.0,90007,海峡国际社区(一期),思明,3,130,西北,2009,"['西北', '近地铁', '绿化率高']"
松二小区房 南北通透 一梯两户 清爽装修,506.0,66440,翠湖小区,思明,2,76.2,南北,1996,"['南北', '满五年', '近地铁']"
火车站电梯小区送200平露台，跃3层空中墅厅挑空南北全明5房,818.0,42886,金枫园,思明,5,190.7,南北,2003,"['南北', '唯一住房', '近地铁', '多人关注']"
东坪山庄电梯 十佳小区 火车站 电梯 六楼一梯两户 双阳台,588.0,56686,东坪山庄,思明,3,103.7,南北,2007,"['南北', '满五年', '近地铁']"
南北通透 3室2厅 楼层好 视野无遮挡 莲花忠仑公园低总价,455.0,50556,龙山小区,思明,3,90,南北,1998,"['南北', '满二年', '近地铁']"
首付30万，买锦绣朝南2房，独门独户，看房有钥匙,140.0,19237,特房锦绣祥安,翔安,2,72.8,南,2014,"['南', '有电梯', '配套成熟', '多人关注']"
看房有锁 中海锦城国际 精装两房 看中庭 诚意出售,196.0,23141,中海锦城国际(一期),集美,2,84.7,南,2014,"['南', '满五年', '车位充足']"
博士花园，边套大三房， 在家门口，采光好，视野好,438.0,46096,博士花园,湖里,3,95,南北,2000,"['南北', '满五年', '近地铁']"
古楼北里3室2厅1卫86.66平,428.0,49389,古楼北里,思明,3,86.7,东南,2000,"['东南', '满五年', '配套成熟']"
康乐新村西区 3室2厅 豪华装修 康乐一小 送超大露台,438.0,56766,康乐新村一期,湖里,3,77.2,东南,2000,"['东南', '满二年', '近地铁']"
2室1厅 精装修 企业力荐好房诚意出售,335.0,62829,罗宾森璀璨新城(二期),思明,2,53.3,西,2000,"['西', '有电梯', '近地铁', '车位充足']"
故宫小 南北通透 带大阳台 2房 阳光充足 天然管道,415.0,65894,钢窗厂宿舍,思明,2,63,南北,1992,"['南北', '满五年', '近地铁']"
松柏好房 莲坂西小区 中间楼层 正规3房朝南 住家精装修,528.0,57045,莲坂西小区,思明,3,92.6,南北,1993,"['南北', '满二年', '近地铁']"
火车站 东浦路 东坪山庄 南北通透,478.0,56236,东坪山庄,思明,2,85,南北,2000,"['南北', '满五年', '近地铁']"
2月钜惠！火车站SF80万送300平露台 电梯小区4层楼中楼,938.0,44121,广景花园,思明,5,212.6,南北,2007,"['南北', '满五年', '近地铁', '多人关注']"
思明 五中 莲前西路 造船厂宿舍 南北通透 户型好,350.0,55565,莲前造船厂宿舍,思明,2,63,南北,1996,"['南北', '满五年', '近地铁']"
南山路康乐一小！厅带阳台好户型！全套自住精装！,358.0,49994,仙洞山庄,湖里,2,71.6,南,2000,"['南', '满二年', '近地铁']"
双地铁 开发商精装修 首付100万 买国贸品质3房2卫,410.0,36772,国贸天悦(一期),集美,3,111.5,南北,2000,"['南北', '近地铁', '车位充足']"
南北通透 两房好改三房 一梯两户 华昌 湖里中学,320.0,37210,区政府宿舍,湖里,2,86,南,2000,"['南', '满五年', '近地铁']"
2室2厅 南湖花园 82平 满五 好楼层 明厨明卫,600.0,72377,南湖花园,思明,2,82.9,南北,1996,"['南北', '满五年', '近地铁']"
正规两居室 邻近地铁口 楼层佳 采光很好 康乐一小 湖里中学,358.0,51586,禹洲新村,湖里,2,69.4,南,2000,"['南', '满五年', '近地铁']"
鹭江旁，莲花 安宝大厦 电梯中层 朝南 三房 看房方便,550.0,61105,安宝大厦,思明,3,90,南北,2000,"['南北', '满五年', '近地铁']"
湖边水库，万达商圈 2016年高品质小区 单价5万,866.0,48655,特房山水杰座,湖里,4,178,南北,2014,"['南北', '满五年', '配套成熟', '车位充足']"
火炬地铁口附近永升新城旁边.电梯高层大3房加书房拎包入住,470.0,40683,怡景花园,湖里,3,115.5,南北,1994,"['南北', '满二年', '近地铁']"
南北通透 3室1厅 企业力荐好房诚意出售,646.0,62440,美仁新村(北区),思明,3,103.5,南北,1990,"['南北', '满二年', '近地铁']"
电梯6楼东南 怡景花园 南北通透 3室2厅格局棒,458.0,39651,怡景花园,湖里,3,115.5,南北,2000,"['南北', '有电梯', '近地铁']"
莲花2010年中骏物业 信和品质小区 2梯1户 电梯高层,748.0,76475,御园,思明,2,97.8,南,2007,"['南', '满五年', '近地铁', '车位充足']"
隧道口 品质 带70平花园 上下六层 送两产权车位 卢卡,660.0,36066,禹洲卢卡小镇,翔安,4,183,南北,2015,"['南北', '热门小区', '配套成熟', '价格优惠']"
教科院 ，禾祥西路 美湖花园 南北二房,418.0,65079,美湖花园,思明,2,64.2,南北,1993,"['南北', '满五年', '近地铁']"
盈翠里 小区中亭 好楼层 诚意出售,506.0,84138,盈翠里12-40号小区,思明,2,60.1,南北,1986,"['南北', '满五年', '近地铁']"
公园小 一中双十 精装两房 送露台 低总价 看房有钥匙,366.0,70972,湖滨南路24-36号小区,思明,2,51.6,南北,1981,"['南北', '满二年', '近地铁']"
世茂御海墅海景房，居家装修，三房一卫，260万,225.0,26057,世茂御海墅(公寓住宅),翔安,3,86.4,南,2018,"['南', '有电梯', '次新房']"
央企中海，楼层好，二次装修，家具家电，诚意出售，价格可谈,160.0,21561,中海万锦熙岸,同安,2,74.2,南,2017,"['南', '满二年']"
海天路 湖里公园地铁旁 刚需三房 全明南北 湖里 在楼下,348.0,47078,海天小区,湖里,3,73.9,南,2000,"['南', '满二年', '近地铁']"
南山路 康乐二期 南北通透 全明 康乐一小 湖里中学,365.0,50000,康乐新村二期,湖里,2,73,南,2000,"['南', '有电梯', '近地铁']"
急售，华昌 ，湖里中学，精装四房，南北通透，户型格局方正,488.0,49817,榕福苑,湖里,4,98,南北,2000,"['南北', '满五年', '近地铁', '绿化率高']"
阳台山 南北通透，全明2房，满五，精装，拎包入住,458.0,64101,阳台山路20-28号小区,思明,2,71.5,南北,1995,"['南北', '满五年', '近地铁']"
康乐新村一期 2室2厅 南北通透 中层 朝南 看房有钥匙,308.0,47908,康乐新村一期,湖里,2,64.3,南北,1995,"['南北', '满五年', '近地铁']"
满五 正南 2室2厅,185.0,21585,禹洲大学城,同安,2,85.7,南,2009,"['南', '满五年', '多人关注']"
华清中心城 祥顺新村 宜居中层 南北通透 大露台 格局方正,218.0,18143,华清中心城(一期),同安,3,120.2,南北,2004,"['南北', '满五年', '车位充足']"
1号3号双地铁口火炬园大唐世家六期南北通透前后双阳台,425.0,50136,湖里大唐世家(六期),湖里,2,84.8,南北,2001,"['南北', '唯一住房', '近地铁']"
首付三十几万拿下区政府南北通透三房,210.0,20803,首开领翔上郡(公寓住宅),翔安,3,101,南北,2017,"['南北', '满二年', '配套成熟']"
莲花一村映碧里 南北通透 2室2厅 精装修,498.0,66721,映碧里1-37号小区,思明,2,74.6,南北,2000,"['南北', '满五年', '近地铁']"
龙泉绿苑，边套精装3房，首付23万，免个税，拎包入住，近地铁,103.8,12026,龙泉绿苑,厦门周边,3,86.3,南北,2016,"['南北', '满五年']"
金辉园旁福津大街电梯3楼东南北三面采光户型方正近地铁近万象城,590.0,46729,福津大街一节点,思明,4,126.3,南北,2006,"['南北', '满五年', '近地铁']"
急售，02年小区，铭爵山庄，100平电梯三房，客厅带阳台朝南,429.0,43051,铭爵山庄,湖里,3,99.7,南,2002,"['南', '满二年', '近地铁', '多人关注']"
南北通透 1室1厅 企业力荐好房诚意出售,340.0,74301,莲岳里小区,思明,1,45.8,南北,1991,"['南北', '满五年', '近地铁']"
好房源！08年 业主自住精装修正规大两房 全明格局 换房置换,468.0,70845,百源双玺,思明,2,66.1,南北,2007,"['南北', '满五年', '近地铁']"
地铁口 边套 南北通透 康乐一小 湖里中学 精装修 正规两居,338.0,47486,禹洲新村,湖里,2,71.2,南,2000,"['南', '近地铁']"
降价急售 滨北筼筜湖畔封闭花园小区高层精装修 2室 地铁口,608.0,69233,信和银湖天峰,思明,2,87.8,东,2016,"['东', '满二年', '近地铁']"
惜售！联发116平标准4房低50万仅售245万！,245.0,21061,联发欣悦学府,翔安,4,116.3,东,2017,"['东', '满五年']"
五缘湾，低于行情90万，建发湾区精装楼中楼,899.0,79006,中央湾区珊瑚海,湖里,3,113.8,南北,2000,"['南北', '满五年', '近地铁']"
翔安隧道口 无遮挡精装两房 随时看房,208.0,27066,明发半岛祥湾(A区),翔安,2,76.9,南,2015,"['南', '满五年', '近地铁', '车位充足']"
云龙海岸精装未入住三房总价75万，首次付12万,75.0,10338,云龙海岸二期,厦门周边,3,72.6,南北,2009,"['南北', '满二年']"
二次精装，拎包入住，正规两房，看中庭视野好 双地铁口,160.0,21575,中海万锦熙岸,同安,2,74.2,南,2017,"['南', '满五年', '多人关注']"
岳阳三楼两房 南北朝向 价格可谈 旁,359.0,55240,岳阳西里,思明,2,65,南北,1995,"['南北', '满二年', '近地铁']"
(真实保证)建昌花园3室,203.0,27411,建昌花园,集美,3,74.1,南北,2004,"['南北', '配套成熟']"
莲花地铁口 温馨2房 好楼层 一梯两户 全明南北通透 采光好,408.0,61335,龙华里居住区,思明,2,66.5,南,2006,"['南', '满二年', '近地铁']"
总价低地铁口温莎公馆精装三房全明朝南好楼层高层次新房满五年,535.0,66337,筼筜温莎公馆,湖里,3,80.7,南北,2016,"['南北', '满五年', '近地铁', '人气热搜']"
正南 2室2厅 企业力荐好房诚意出售,370.0,50979,康乐新村二期,湖里,2,72.6,南,2000,"['南', '满二年', '近地铁']"
槟榔西里，十幼旁，449万大2房，免个税，95万首付就够,449.0,71566,槟榔西里双号区,思明,2,62.7,南北,1987,"['南北', '满五年', '近地铁']"
1室1厅 企业力荐好房诚意出售,430.0,83593,汇丰家园,思明,1,51.4,东,2005,"['东', '满二年', '近地铁']"
万景花园 中庭位置 康乐一小 湖里中学 人车分流 居家保养,325.0,52302,万景花园,湖里,2,62.1,南北,2000,"['南北', '满五年', '近地铁']"
惠盛花园 电梯3楼 厅带阳台朝南 两房朝北一房南,720.0,67733,惠盛花园,思明,3,106.3,南北,1999,"['南北', '满二年', '近地铁']"
地铁口，永升新城，106平楼中楼，独立使用露台，业主急售,456.0,42765,永升新城,湖里,3,106.6,南北,2000,"['南北', '满五年', '近地铁', '多人关注']"
满二年 客厅朝南 三室二厅 精装修 祥店商圈拎包入住,497.0,57444,祥店新村3区,湖里,3,86.5,南北,2000,"['南北', '满二年', '近地铁']"
带180平独立大露台 大天台 越3层楼中楼 火车站豪装大5房,818.0,61009,金枫园,思明,5,134.1,南北,2004,"['南北', '满二年', '近地铁', '多人关注']"
万象城为邻 筼筜湖为伴 顶层楼中楼 客厅挑空7米 赠送大露台,1550.0,71390,金祥大厦,思明,6,217.1,南北,2005,"['南北', '满二年', '近地铁']"
火车站，地铁口，世贸国际 可改2房 低价出售,308.0,52301,禹洲世贸国际,思明,1,58.9,西南,2009,"['西南', '满二年', '近地铁', '绿化率高']"
南北通透 4室2厅 企业力荐好房诚意出售,1280.0,82104,国贸花园,思明,4,155.9,南北,1999,"['南北', '满五年', '近地铁', '车位充足']"
满二年 正南向 二室二厅 简单装修 枋湖,460.0,55031,龙湖花园(一期),湖里,2,83.6,南,2008,"['南', '有电梯', '近地铁']"
全明结构 高层电梯 南北 东方威尼斯630万,630.0,47188,东方威尼斯,湖里,3,133.5,南北,2003,"['南北', '满二年', '近地铁']"
南北通透 5室3厅 豪华装修,1280.0,67178,凯旋广场,思明,5,190.5,南北,2000,"['南北', '满五年', '近地铁', '车位充足']"
刚结婚看过来 户型好到自己都想买 主卧带阳台 给你个人空间,199.0,25254,世茂御海墅(公寓住宅),翔安,2,78.8,南北,2015,"['南北', '满五年']"
枋湖商圈，凯悦新城，86平3房两厅，户型方正,579.0,67578,凯悦新城(公寓住宅),湖里,3,85.7,南,2009,"['南', '满二年', '近地铁', '绿化率高']"
（店长力荐）地铁口边 精装三房 小区中庭，三面采光 楼层好,395.0,45429,芙蓉苑,湖里,3,87,南,2000,"['南', '满二年', '近地铁']"
2室2厅 企业力荐好房诚意出售,360.0,46362,翔鹭花城(二期),湖里,2,77.7,北,2007,"['北', '满二年', '近地铁']"
地铁口，江头公园，新景雅苑，南北通透一梯两户，楼中楼正规4房,645.0,69385,新景雅苑,湖里,4,93,南北,2018,"['南北', '满二年', '近地铁', '绿化率高']"
满五 南北通透 3室2厅 精装修,678.0,58233,金龙花园,思明,3,116.4,南北,1996,"['南北', '满二年', '近地铁', '车位充足']"
有小区好停车 南北通透全明精装3房 实小 一中双十 送1房,958.0,104403,虎园路财政宿舍,思明,3,91.8,南北,1998,"['南北', '满二年', '近地铁']"
槟榔2房，低总价，带车位，外墙新做外立面涂料焕然一新,378.0,74439,槟榔西里单号区,思明,2,50.8,南北,1987,"['南北', '满二年', '近地铁']"
旁 西南北三面采光 全明三房 外扩面积大 中层 性价比高,358.0,45886,东渡小区,湖里,3,78,南北,1994,"['南北', '满五年', '近地铁']"
俯瞰金榜山全景 闹市中的顶层小 跃三层6房独立朝南露台,1758.0,59161,南洋大厦,思明,6,297.2,南北,2005,"['南北', '满五年', '近地铁', '车位充足']"
大学路旁 中埔头小区 南北通透 看房方便 带独立露台,348.0,56357,中埔头小区,思明,2,61.8,南北,1986,"['南北', '近地铁']"
瑞景潘宅南小区，电梯，大2房，客厅朝南带阳台，看房有锁,498.0,59322,潘宅南小区,思明,2,84,南北,2007,"['南北', '满二年', '近地铁']"
